modality,algorithm_name,rate_baseline,auc_roc_baseline,rate_max_rate,auc_roc_max_rate,auc_drop
cv,IQR,0.0,0.72941475,0.2,0.7381865,-0.008771749999999967
cv,COPOD,0.0,0.73037125,0.2,0.72284925,0.007522000000000029
cv,ECOD,0.0,0.7520782500000001,0.2,0.74399175,0.008086500000000107
cv,KNN,0.0,0.8063075,0.2,0.79366225,0.012645249999999941
cv,OCSVM,0.0,0.79473025,0.2,0.7780405,0.016689749999999948
cv,IForest,0.0,0.75868425,0.2,0.7392315,0.019452749999999908
cv,DeepSVDD,0.0,0.76811125,0.2,0.74056725,0.027544000000000013
cv,AutoEncoder,0.0,0.82285375,0.2,0.79524475,0.027609000000000106
cv,RF,0.0,0.91949475,0.2,0.8236975,0.09579725000000006
cv,LOF,0.0,0.8419605,0.2,0.7450067499999999,0.09695375000000006
cv,LR,0.0,0.892564,0.2,0.7692185,0.1233455
cv,LightGBM,0.0,0.94011225,0.2,0.80242225,0.13768999999999998
cv,XGBoost,0.0,0.937853,0.2,0.784763,0.15309000000000006
cv,MLP,0.0,0.91415525,0.2,0.719211,0.19494424999999993
graph,IQR,0.0,0.6241654999999999,0.2,0.62783875,-0.0036732500000000723
graph,ECOD,0.0,0.6912165,0.2,0.670345,0.020871500000000043
graph,COPOD,0.0,0.6255747500000001,0.2,0.5975195,0.028055250000000087
graph,TabPFN,0.0,0.8307884999999999,0.2,0.797958,0.032830499999999985
graph,OCSVM,0.0,0.76449325,0.2,0.7301802500000001,0.03431299999999993
graph,IForest,0.0,0.60300025,0.2,0.564268,0.038732250000000024
graph,LR,0.0,0.88157975,0.2,0.83749525,0.04408449999999997
graph,DeepSVDD,0.0,0.69683675,0.2,0.6446375,0.05219925000000003
graph,LightGBM,0.0,0.891166,0.2,0.8265677499999999,0.06459825000000008
graph,RF,0.0,0.882757,0.2,0.814749,0.06800800000000007
graph,MLP,0.0,0.85936225,0.2,0.7875077500000001,0.07185449999999993
graph,XGBoost,0.0,0.89464,0.2,0.82236825,0.07227174999999997
graph,AutoEncoder,0.0,0.710915,0.2,0.61448875,0.09642624999999994
graph,KNN,0.0,0.60949525,0.2,0.48228725,0.12720800000000004
graph,LOF,0.0,0.688935,0.2,0.5427967499999999,0.14613825000000003
nlp,IForest,0.0,0.54171875,0.2,0.552508,-0.010789249999999972
nlp,COPOD,0.0,0.53511075,0.2,0.53335675,0.0017539999999999223
nlp,ECOD,0.0,0.51712975,0.2,0.51502225,0.00210750000000004
nlp,DeepSVDD,0.0,0.5205615,0.2,0.5169405,0.0036209999999999853
nlp,IQR,0.0,0.5505535,0.2,0.54510225,0.005451250000000019
nlp,KNN,0.0,0.61671475,0.2,0.6087797500000001,0.007934999999999914
nlp,OCSVM,0.0,0.5864415000000001,0.2,0.57057475,0.01586675000000004
nlp,AutoEncoder,0.0,0.6337492499999999,0.2,0.6168935,0.016855749999999947
nlp,LOF,0.0,0.64056625,0.2,0.6229432500000001,0.017622999999999944
nlp,RF,0.0,0.84873275,0.2,0.7230555000000001,0.12567724999999996
nlp,LightGBM,0.0,0.89162975,0.2,0.743553,0.14807674999999998
nlp,LR,0.0,0.9221045,0.2,0.7691224999999999,0.15298200000000006
nlp,XGBoost,0.0,0.8901085,0.2,0.7277787499999999,0.16232975000000005
nlp,MLP,0.0,0.92955125,0.2,0.701722,0.2278292500000001
tabular,IQR,0.0,0.8168395555555557,0.2,0.8130198888888889,0.0038196666666667767
tabular,TabPFN,0.0,0.965896,0.2,0.9529481428571429,0.012947857142857067
tabular,ECOD,0.0,0.8711073333333332,0.2,0.8554537777777778,0.015653555555555476
tabular,COPOD,0.0,0.8725274444444444,0.2,0.856094,0.01643344444444439
tabular,LR,0.0,0.9529823333333334,0.2,0.9360646666666665,0.01691766666666683
tabular,DeepSVDD,0.0,0.8540942222222223,0.2,0.8296313333333334,0.024462888888888923
tabular,IForest,0.0,0.9015343333333333,0.2,0.8765813333333333,0.024953000000000003
tabular,RF,0.0,0.962722,0.2,0.9231926666666666,0.039529333333333416
tabular,LightGBM,0.0,0.961751111111111,0.2,0.9211258888888888,0.0406252222222222
tabular,XGBoost,0.0,0.9635956666666667,0.2,0.918962,0.044633666666666794
tabular,MLP,0.0,0.9646721111111111,0.2,0.9188418888888888,0.04583022222222222
tabular,OCSVM,0.0,0.8575382222222223,0.2,0.77715,0.0803882222222223
tabular,AutoEncoder,0.0,0.896781888888889,0.2,0.8115868888888889,0.08519500000000013
tabular,KNN,0.0,0.9070803333333333,0.2,0.7906147777777778,0.11646555555555549
tabular,LOF,0.0,0.8620837777777778,0.2,0.6010716666666667,0.2610121111111111
timeseries,DeepSVDD,0.0,0.566268,0.2,0.61825,-0.05198199999999997
timeseries,OCSVM,0.0,0.6624945714285715,0.2,0.7038795,-0.0413849285714285
timeseries,ECOD,0.0,0.5577759999999999,0.2,0.581974875,-0.024198875000000064
timeseries,COPOD,0.0,0.6072784285714287,0.2,0.6286780000000001,-0.021399571428571407
timeseries,AutoEncoder,0.0,0.7152102857142857,0.2,0.7152102857142857,0.0
timeseries,KNN,0.0,0.7637887142857143,0.2,0.7637887142857143,0.0
timeseries,LOF,0.0,0.7510264285714285,0.2,0.7510264285714285,0.0
timeseries,IQR,0.0,0.6213438571428572,0.2,0.606175875,0.015167982142857195
timeseries,IForest,0.0,0.6538021428571429,0.2,0.634576875,0.019225267857142847
timeseries,LR,0.0,0.643979125,0.2,0.517141875,0.12683725
timeseries,LightGBM,0.0,0.685685375,0.2,0.49027325,0.19541212500000005
timeseries,XGBoost,0.0,0.691690125,0.2,0.496115,0.19557512500000007
timeseries,MLP,0.0,0.656001625,0.2,0.4432255,0.21277612500000004
timeseries,TabPFN,0.0,0.7856346666666667,0.2,0.5622675,0.22336716666666667
timeseries,RF,0.0,0.742836375,0.2,0.516384625,0.22645174999999995
